model_id,RMSD,MCQ,TM-score
CG_RMSD_rp18,0.2566739470464457,0.1300017046049877,-0.17507343621901642
CG_RMSD_rp13,0.2831244257603394,-0.05797055036007792,-0.4512507662133253
CG_RMSD_rp25,0.5437633853367014,0.49682114432263763,-0.36843096885767307
CG_RMSD_rp29,0.37880281467090055,0.1894016443392759,-0.2438661414297246
CG_RMSD_rp06,0.7330286111015395,0.03681378616906288,-0.6295722290851911
CG_RMSD_rp09,0.7476936222579121,0.2707174511840599,-0.5723413931368478
CG_RMSD_rp08,0.4612495109063396,0.22226541681889653,-0.27902856263690623
CG_RMSD_rp34,0.016393784592932094,-0.22266304518206448,0.03717372275001243
CG_RMSD_rp04,0.7946177326031523,0.056755537788071866,-0.6221364597628625
CG_RMSD_rp21,0.4892974938180465,0.003357581356286239,-0.2386157016169065
CG_RMSD_rp07,0.9288646499572358,0.03483373968710743,-0.6434076570679426
CG_RMSD_rp12,0.5511148631300745,-0.1763500281586875,-0.48644209186887877
CG_RMSD_rp32,0.12741652175129986,-0.2881635078824808,0.20306653675176853
CG_RMSD_rp11,0.653127862782338,0.03592312711073233,-0.1257579361583492
CG_RMSD_rp17,0.15674703610734947,-0.2804622883044729,-0.38090660634369317
CG_RMSD_rp05,0.8077325870471028,0.012441758011976181,-0.35674450109146816
CG_RMSD_rp03,0.47108130966601036,0.011797444947221986,-0.330286923346376
CG_RMSD_rp16,0.05570983323138116,0.2147544075812589,-0.14746788670419803
CG_RMSD_rp24,0.5172729931146264,-0.017754739883277856,-0.3639839100037567
CG_RMSD_rp23,-0.039379282062815976,-0.08871192835525168,0.10236498163716903
CG_RMSD_rp14_free,0.6154010662168485,-0.06446590164839469,-0.39294829228010886
CG_RMSD_rp14_bound,0.3281767469375064,0.07757198253745534,-0.2352316345971421
